sp,dbh,rootbiomass,logdbh,logrootbiomass
Schima superba,1.2,0.07,0.1823215567939546,-2.659260036932778
Schima superba,1.31,0.37,0.2700271372130602,-0.9942522733438668
Schima superba,2.09,0.21,0.7371640659767196,-1.5606477482646683
Schima superba,2.32,0.5,0.8415671856782185,-0.6931471805599453
Schima superba,2.4,0.26,0.8754687373538999,-1.3470736479666092
Schima superba,2.7,0.52,0.9932517730102834,-0.6539264674066639
Schima superba,4,2.29,1.3862943611198906,0.8285518175661483
Schima superba,4.19,1.17,1.4327007339340465,0.1570037488096647
Schima superba,4.7,1.37,1.547562508716013,0.3148107398400336
Schima superba,4.86,1.85,1.5810384379124025,0.6151856390902335
Schima superba,5.4,2.36,1.6863989535702288,0.8586616190375187
Schima superba,5.8,2.39,1.7578579175523736,0.8712933659434193
Schima superba,6.04,1.97,1.7984040119467235,0.6780335427498971
Schima superba,6.88,4.11,1.928618651945252,1.4134230285081433
Schima superba,6.9,3.89,1.9315214116032136,1.358409157630355
Schima superba,7.45,4.17,2.0082140323914683,1.42791603581071
Schima superba,7.5,3.18,2.0149030205422647,1.1568811967920856
Schima superba,8.48,5.57,2.137710449803812,1.717395053939193
Schima superba,9.2,10,2.2192034840549946,2.302585092994046
Schima superba,9.4,18.95,2.2407096892759584,2.941803931528435
Schima superba,9.46,9.81,2.247072383063787,2.2834022735772717
Schima superba,9.9,7.21,2.2925347571405443,1.9754689512968575
Schima superba,10.1,6.86,2.3125354238472138,1.925707441737794
Schima superba,10.6,8.56,2.3608540011180215,2.1471001901536506
Schima superba,13.5,14.78,2.6026896854443837,2.6932749155200555
Schima superba,13.8,5.07,2.624668592163159,1.623340817603092
Schima superba,14,36.18,2.6390573296152584,3.588506479967149
Schima superba,16,34.85,2.772588722239781,3.551053137206533
Schima superba,17.3,31.29,2.8507065015037334,3.443298557680791
Schima superba,17.9,30.22,2.884800712846709,3.4085039568445934
Schima superba,19,48.57,2.9444389791664403,3.8830060563576536
Schima superba,19.02,45.14,2.9454910571172443,3.8097687713893897
Schima superba,19.6,37.45,2.975529566236472,3.623006709963229
Schima superba,19.8,49.72,2.9856819377004897,3.9064072666425105
Schima superba,20.5,65.24,3.0204248861443626,4.178072777752813
Schima superba,21.05,74.16,3.0469005601283903,4.306224921257599
Schima superba,21.18,76.1,3.0530573401732606,4.33204826486764
Schima superba,21.4,50.72,3.0633909220278057,3.9263203101289705
Schima superba,21.45,82.23,3.065724645374026,4.409520198982804
Schima superba,22,170.57,3.091042453358316,5.139145769652782
Schima superba,23,148.7,3.1354942159291497,5.001930853466109
Schima superba,23.1,74.11,3.139832617527748,4.305550475963267
Schima superba,23.19,106.96,3.143721151267441,4.672454932793688
Schima superba,23.38,124.77,3.1518809560439225,4.82647204242293
Schima superba,24.62,78.52,3.203559120756307,4.3633533694082605
Schima superba,25.54,97.96,3.2402458506043934,4.584559232083967
Schima superba,25.76,117.95,3.248822901236153,4.770260805853684
Schima superba,26.39,105.15,3.2729851505152325,4.655387902148709
Schima superba,26.4,92.85,3.2733640101522705,4.530985287798715
Schima superba,26.5,113.5,3.277144732992177,4.7318028369214575
Schima superba,27.86,83.59,3.32719196835166,4.4259238957110645
Schima superba,29.35,130.03,3.3792925462741055,4.867765193063229
Schima superba,30.62,97.85,3.4216533902295376,4.583435693842085
Schima superba,32,265.5,3.4657359027997265,5.581614840681993
Schima superba,32.12,173.2,3.469478889078561,5.154446996128335
Schima superba,32.92,253.57,3.494080375808869,5.535639919035516
Schima superba,34,122.55,3.5263605246161616,4.808519109974122
Schima superba,37.2,136.3,3.616308761279101,4.914858338702487
Schima superba,38,181.13,3.6375861597263857,5.199215005504826
Schima superba,38.32,273.6,3.64597195310266,5.611667185748395
